Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
50330,GRID,X360,2008.0,Genre,Racing
50331,GRID,DS,,Genre,Racing
50332,GRID,PC,,Genre,Racing
50333,Darksiders,X360,2010.0,Genre,Action
50334,Darksiders,PC,2010.0,Genre,Action
50335,Darksiders,PS3,2010.0,Genre,Action
50336,Worms Reloaded,PC,2010.0,Genre,Strategy
50337,Alan Wake,X360,2010.0,Genre,Action
50338,Alan Wake,PC,2012.0,Genre,Action
50339,Peggle Nights,PC,2008.0,Genre,Puzzle
50340,Puzzler World 2,DS,2010.0,Genre,Puzzle
50341,Bejeweled 3,DS,,Genre,Puzzle
50342,Bejeweled 3,PS3,,Genre,Puzzle
50343,Bejeweled 3,X360,,Genre,Puzzle
50344,Bejeweled 3,PC,2010.0,Genre,Puzzle
50345,The Book of Unwritten Tales,PC,2009.0,Genre,Adventure
50346,The Movies,PC,2005.0,Genre,Simulation
50347,The Testament of Sherlock Holmes,PS3,2012.0,Genre,Adventure
50348,The Testament of Sherlock Holmes,PC,2012.0,Genre,Adventure
50349,The Testament of Sherlock Holmes,X360,2012.0,Genre,Adventure
50350,Indigo Prophecy,PS2,2005.0,Genre,Adventure
50351,Indigo Prophecy,XB,2005.0,Genre,Adventure
50352,Indigo Prophecy,PC,2005.0,Genre,Adventure
50353,DiRT 2,PS3,2009.0,Genre,Racing
50354,DiRT 2,X360,2009.0,Genre,Racing
50355,DiRT 2,Wii,2009.0,Genre,Racing
50356,DiRT 2,PSP,2009.0,Genre,Racing
50357,DiRT 2,DS,2009.0,Genre,Racing
50358,DiRT 2,PC,2009.0,Genre,Racing
50359,4 Elements,PC,2009.0,Genre,Puzzle
50360,Singularity,X360,,Genre,Shooter
50361,Singularity,PS3,,Genre,Shooter
50362,Singularity,PC,2010.0,Genre,Shooter
50363,CID The Dummy,PSP,2009.0,Genre,Platform
50364,CID The Dummy,Wii,2009.0,Genre,Platform
50365,The Wolf Among Us,PS4,2014.0,Genre,Adventure
50366,The Wolf Among Us,PS3,2014.0,Genre,Adventure
50367,The Wolf Among Us,XOne,2014.0,Genre,Adventure
50368,The Wolf Among Us,PSV,2014.0,Genre,Adventure
50369,The Wolf Among Us,X360,2011.0,Genre,Adventure
50370,State of Decay,XOne,2015.0,Genre,Strategy
50371,Half-Life,PC,1997.0,Genre,Shooter
50372,Half-Life,PS2,2001.0,Genre,Shooter
50373,Trine 2,PC,2011.0,Genre,Platform
50374,Trine 2,WiiU,2012.0,Genre,Platform
50375,Blur,PS3,2010.0,Genre,Racing
50376,Blur,X360,2010.0,Genre,Racing
50377,Blur,PC,2010.0,Genre,Racing
50378,Magicka,PC,2011.0,Genre,Role-Playing
50379,The Longest Journey,PC,1999.0,Genre,Adventure
50380,Sid Meier's Civilization IV,PC,2005.0,Genre,Strategy
50381,Euro Truck Simulator 2,PC,2012.0,Genre,Action
50382,Just Cause,X360,2006.0,Genre,Action
50383,Just Cause,PC,2006.0,Genre,Action
50384,Just Cause,PS2,2006.0,Genre,Action
50385,This War of Mine,PS4,2016.0,Genre,Action
50386,Sniper Elite V2,PS3,2012.0,Genre,Shooter
50387,Sniper Elite V2,X360,2012.0,Genre,Shooter
50388,Sniper Elite V2,WiiU,2013.0,Genre,Shooter
50389,Stronghold 3,PC,2011.0,Genre,Strategy
50390,Mass Effect 2,X360,2010.0,Genre,Role-Playing
50391,Mass Effect 2,PS3,2011.0,Genre,Role-Playing
50392,Mass Effect 2,PC,2010.0,Genre,Role-Playing
50393,Borderlands,X360,2009.0,Genre,Shooter
50394,Borderlands,PS3,2009.0,Genre,Shooter
50395,Borderlands,PC,2009.0,Genre,Shooter
50396,EVE Online,PC,2003.0,Genre,Role-Playing
50397,DC Universe Online,PS3,2011.0,Genre,Role-Playing
50398,DC Universe Online,PC,2011.0,Genre,Role-Playing
50399,RIFT,PC,2011.0,Genre,Role-Playing
50400,Darksiders II,PS3,2012.0,Genre,Action
50401,Darksiders II,X360,2012.0,Genre,Action
50402,Darksiders II,PS4,2015.0,Genre,Action
50403,Darksiders II,PC,2012.0,Genre,Action
50404,Darksiders II,WiiU,2012.0,Genre,Action
50405,Darksiders II,XOne,2015.0,Genre,Action
50406,Anno 2070,PC,2011.0,Genre,Strategy
50407,Chessmaster,PS2,2003.0,Genre,Misc
50408,Chessmaster,XB,2004.0,Genre,Misc
50409,Chessmaster,GBA,2002.0,Genre,Misc
50410,Might & Magic Heroes VI,PC,2011.0,Genre,Role-Playing
50411,Trapped Dead,PC,2011.0,Genre,Strategy
50412,Torchlight,PC,2009.0,Genre,Role-Playing
50413,Titan Quest,PC,2006.0,Genre,Role-Playing
50414,Duke Nukem Forever,X360,2011.0,Genre,Shooter
50415,Duke Nukem Forever,PS3,2011.0,Genre,Shooter
50416,Duke Nukem Forever,PC,2011.0,Genre,Shooter
50417,Company of Heroes 2,PC,2013.0,Genre,Strategy
50418,Battlefield 2,PC,2005.0,Genre,Shooter
50419,Men of War,PC,2009.0,Genre,Strategy
50420,Full Spectrum Warrior,XB,2004.0,Genre,Strategy
50421,Full Spectrum Warrior,PS2,2005.0,Genre,Strategy
50422,DiRT Rally,PS4,2016.0,Genre,Racing
50423,DiRT Rally,XOne,2016.0,Genre,Racing
50424,DiRT Rally,PC,2016.0,Genre,Racing
50425,Defiance,X360,2013.0,Genre,Shooter
50426,Defiance,PS3,2013.0,Genre,Shooter
50427,Defiance,PC,2013.0,Genre,Shooter
50428,Tropico 5,PS4,2015.0,Genre,Simulation
50429,Tropico 5,PC,2014.0,Genre,Simulation
50430,Tropico 5,X360,2014.0,Genre,Simulation
50431,Football Manager 2013,PC,2012.0,Genre,Sports
50432,Two Worlds II,X360,2011.0,Genre,Role-Playing
50433,Two Worlds II,PS3,2011.0,Genre,Role-Playing
50434,Two Worlds II,PC,2011.0,Genre,Role-Playing
50435,LEGO The Hobbit,PS4,2014.0,Genre,Action
50436,LEGO The Hobbit,PS3,2014.0,Genre,Action
50437,LEGO The Hobbit,X360,2014.0,Genre,Action
50438,LEGO The Hobbit,XOne,2014.0,Genre,Action
50439,LEGO The Hobbit,3DS,2014.0,Genre,Action
50440,LEGO The Hobbit,WiiU,2014.0,Genre,Action
50441,LEGO The Hobbit,PSV,2014.0,Genre,Action
50442,LEGO The Hobbit,PC,2014.0,Genre,Action
50443,LEGO Jurassic World,PS4,2015.0,Genre,Action
50444,LEGO Jurassic World,X360,2015.0,Genre,Action
50445,LEGO Jurassic World,PS3,2015.0,Genre,Action
50446,LEGO Jurassic World,XOne,2015.0,Genre,Action
50447,LEGO Jurassic World,3DS,2015.0,Genre,Action
50448,LEGO Jurassic World,WiiU,2015.0,Genre,Action
50449,LEGO Jurassic World,PSV,2015.0,Genre,Action
50450,LEGO Jurassic World,PC,2015.0,Genre,Action
50451,BioShock 2,X360,2010.0,Genre,Shooter
50452,BioShock 2,PS3,2010.0,Genre,Shooter
50453,BioShock 2,PC,,Genre,Shooter
50454,Homeworld Remastered Collection,PC,,Genre,Strategy
50455,Dead Space 2,X360,2011.0,Genre,Shooter
50456,Dead Space 2,PS3,2011.0,Genre,Shooter
50457,Dead Space 2,PC,2011.0,Genre,Shooter
50458,Crysis,PC,2007.0,Genre,Shooter
50459,Prey,X360,2006.0,Genre,Shooter
50460,Prey,PC,2006.0,Genre,Shooter
50461,F.E.A.R. 3,PS3,2011.0,Genre,Shooter
50462,F.E.A.R. 3,X360,2011.0,Genre,Shooter
50463,F.E.A.R. 3,PC,2011.0,Genre,Shooter
50464,F.E.A.R. Perseus Mandate,PC,2007.0,Genre,Shooter
50465,Fable III,X360,2010.0,Genre,Role-Playing
50466,Fable III,PC,2011.0,Genre,Role-Playing
