Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
17098,Grand Theft Auto III,PC,2002.0,MedianPlaytime,1.25
17099,Assassin's Creed,X360,2007.0,MedianPlaytime,7.3
17100,Assassin's Creed,PS3,2007.0,MedianPlaytime,7.3
17101,Assassin's Creed,PC,2008.0,MedianPlaytime,7.3
17102,Majesty 2 Collection,PC,2011.0,MedianPlaytime,25.0
17103,Wasteland 2,PS4,2015.0,MedianPlaytime,17.6
17104,Wasteland 2,PC,2015.0,MedianPlaytime,17.6
17105,Wasteland 2,XOne,2015.0,MedianPlaytime,17.6
17106,Gothic 3,PC,2006.0,MedianPlaytime,16.8
17107,Dead Rising 2,X360,2010.0,MedianPlaytime,4.9
17108,Dead Rising 2,PS3,2010.0,MedianPlaytime,4.9
17109,Dead Rising 2,PC,2010.0,MedianPlaytime,4.9
17110,Dead Rising 2,PS4,2016.0,MedianPlaytime,4.9
17111,Dead Rising 2,XOne,2016.0,MedianPlaytime,4.9
17112,Rogue Warrior,PS3,2009.0,MedianPlaytime,1.5
17113,Rogue Warrior,X360,2009.0,MedianPlaytime,1.5
17114,Worms Armageddon,PS,1999.0,MedianPlaytime,1.8
17115,Worms Armageddon,N64,1999.0,MedianPlaytime,1.8
17116,Farming Simulator 2013,PC,2012.0,MedianPlaytime,15.5
17117,Farming Simulator 2013,X360,2013.0,MedianPlaytime,15.5
17118,Farming Simulator 2013,PS3,2013.0,MedianPlaytime,15.5
17119,GRID Autosport,PS3,2014.0,MedianPlaytime,4.7
17120,GRID Autosport,X360,2014.0,MedianPlaytime,4.7
17121,GRID Autosport,PC,2014.0,MedianPlaytime,4.7
17122,Red Faction,PS2,2001.0,MedianPlaytime,1.65
17123,Overlord II,X360,2009.0,MedianPlaytime,2.7
17124,Overlord II,PS3,2009.0,MedianPlaytime,2.7
17125,Overlord II,PC,2009.0,MedianPlaytime,2.7
17126,Overlord,X360,2007.0,MedianPlaytime,4.15
17127,Overlord,PC,2007.0,MedianPlaytime,4.15
17128,Goodbye Deponia,PC,2013.0,MedianPlaytime,3.4
17129,Deponia,PC,2012.0,MedianPlaytime,4.8
17130,Sid Meier's Pirates!,PSP,2007.0,MedianPlaytime,5.3
17131,Sid Meier's Pirates!,Wii,2010.0,MedianPlaytime,5.3
17132,Sid Meier's Pirates!,XB,2005.0,MedianPlaytime,5.3
17133,Dragon's Lair,DS,2010.0,MedianPlaytime,0.44999999999999996
17134,Star Trek Online,PC,2010.0,MedianPlaytime,17.7
17135,Child of Light,PSV,2014.0,MedianPlaytime,7.5
17136,Child of Light,PS4,2014.0,MedianPlaytime,7.5
