Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
83746,Deadpool,PS4,2015.0,NA_Sales,0.14
83747,Deadpool,XOne,2015.0,NA_Sales,0.09
83748,Counter-Strike,XB,2003.0,NA_Sales,0.85
83749,Project CARS,PS4,2015.0,NA_Sales,0.2
83750,Project CARS,XOne,2015.0,NA_Sales,0.11
83751,Project CARS,PC,2015.0,NA_Sales,0.0
83752,World of Goo,PC,2008.0,NA_Sales,0.0
83753,Machinarium,PC,2009.0,NA_Sales,0.0
83754,Braid,PC,2009.0,NA_Sales,0.0
83755,Botanicula,PC,2012.0,NA_Sales,0.0
83756,Terraria,X360,2013.0,NA_Sales,0.35
83757,Terraria,PS3,2013.0,NA_Sales,0.07
83758,Terraria,PC,2011.0,NA_Sales,0.0
83759,Terraria,PSV,2013.0,NA_Sales,0.0
83760,Terraria,3DS,2016.0,NA_Sales,0.0
83761,Terraria,PS4,2014.0,NA_Sales,0.0
83762,Terraria,XOne,2014.0,NA_Sales,0.0
83763,Terraria,WiiU,2016.0,NA_Sales,0.0
83764,Saints Row 2,X360,2008.0,NA_Sales,1.94
83765,Saints Row 2,PS3,2008.0,NA_Sales,0.88
83766,Saints Row 2,PC,2009.0,NA_Sales,0.0
83767,GRID,PS3,2008.0,NA_Sales,0.31
83768,GRID,X360,2008.0,NA_Sales,0.33
83769,GRID,DS,,NA_Sales,0.04
83770,GRID,PC,,NA_Sales,0.0
83771,Darksiders,X360,2010.0,NA_Sales,0.67
83772,Darksiders,PC,2010.0,NA_Sales,0.07
83773,Darksiders,PS3,2010.0,NA_Sales,0.01
83774,Worms Reloaded,PC,2010.0,NA_Sales,0.0
83775,Alan Wake,X360,2010.0,NA_Sales,0.66
83776,Alan Wake,PC,2012.0,NA_Sales,0.0
83777,Peggle Nights,PC,2008.0,NA_Sales,0.0
83778,Puzzler World 2,DS,2010.0,NA_Sales,0.02
83779,Bejeweled 3,DS,,NA_Sales,0.29
83780,Bejeweled 3,PS3,,NA_Sales,0.13
83781,Bejeweled 3,X360,,NA_Sales,0.13
83782,Bejeweled 3,PC,2010.0,NA_Sales,0.02
83783,The Book of Unwritten Tales,PC,2009.0,NA_Sales,0.0
83784,The Movies,PC,2005.0,NA_Sales,0.01
83785,The Testament of Sherlock Holmes,PS3,2012.0,NA_Sales,0.05
83786,The Testament of Sherlock Holmes,PC,2012.0,NA_Sales,0.0
83787,The Testament of Sherlock Holmes,X360,2012.0,NA_Sales,0.0
83788,Indigo Prophecy,PS2,2005.0,NA_Sales,0.07
83789,Indigo Prophecy,XB,2005.0,NA_Sales,0.07
83790,Indigo Prophecy,PC,2005.0,NA_Sales,0.0
83791,DiRT 2,PS3,2009.0,NA_Sales,0.27
83792,DiRT 2,X360,2009.0,NA_Sales,0.32
83793,DiRT 2,Wii,2009.0,NA_Sales,0.1
83794,DiRT 2,PSP,2009.0,NA_Sales,0.09
83795,DiRT 2,DS,2009.0,NA_Sales,0.06
83796,DiRT 2,PC,2009.0,NA_Sales,0.0
83797,4 Elements,PC,2009.0,NA_Sales,0.0
83798,Singularity,X360,,NA_Sales,0.24
83799,Singularity,PS3,,NA_Sales,0.17
83800,Singularity,PC,2010.0,NA_Sales,0.0
83801,CID The Dummy,PSP,2009.0,NA_Sales,0.02
83802,CID The Dummy,Wii,2009.0,NA_Sales,0.02
83803,The Wolf Among Us,PS4,2014.0,NA_Sales,0.1
83804,The Wolf Among Us,PS3,2014.0,NA_Sales,0.05
83805,The Wolf Among Us,XOne,2014.0,NA_Sales,0.05
83806,The Wolf Among Us,PSV,2014.0,NA_Sales,0.03
83807,The Wolf Among Us,X360,2011.0,NA_Sales,0.01
83808,State of Decay,XOne,2015.0,NA_Sales,0.14
83809,Half-Life,PC,1997.0,NA_Sales,4.03
83810,Half-Life,PS2,2001.0,NA_Sales,0.29
83811,Trine 2,PC,2011.0,NA_Sales,0.0
83812,Trine 2,WiiU,2012.0,NA_Sales,0.0
83813,Blur,PS3,2010.0,NA_Sales,0.22
83814,Blur,X360,2010.0,NA_Sales,0.25
83815,Blur,PC,2010.0,NA_Sales,0.01
83816,Magicka,PC,2011.0,NA_Sales,0.0
83817,The Longest Journey,PC,1999.0,NA_Sales,0.0
83818,Sid Meier's Civilization IV,PC,2005.0,NA_Sales,0.02
83819,Euro Truck Simulator 2,PC,2012.0,NA_Sales,0.0
83820,Just Cause,X360,2006.0,NA_Sales,0.1
83821,Just Cause,PC,2006.0,NA_Sales,0.0
83822,Just Cause,PS2,2006.0,NA_Sales,0.01
83823,This War of Mine,PS4,2016.0,NA_Sales,0.0
83824,Sniper Elite V2,PS3,2012.0,NA_Sales,0.38
83825,Sniper Elite V2,X360,2012.0,NA_Sales,0.46
83826,Sniper Elite V2,WiiU,2013.0,NA_Sales,0.0
83827,Stronghold 3,PC,2011.0,NA_Sales,0.06
83828,Mass Effect 2,X360,2010.0,NA_Sales,1.99
83829,Mass Effect 2,PS3,2011.0,NA_Sales,0.78
83830,Mass Effect 2,PC,2010.0,NA_Sales,0.01
83831,Borderlands,X360,2009.0,NA_Sales,2.4
83832,Borderlands,PS3,2009.0,NA_Sales,1.2
83833,Borderlands,PC,2009.0,NA_Sales,0.01
83834,EVE Online,PC,2003.0,NA_Sales,0.0
83835,DC Universe Online,PS3,2011.0,NA_Sales,0.35
83836,DC Universe Online,PC,2011.0,NA_Sales,0.16
83837,RIFT,PC,2011.0,NA_Sales,0.44
83838,Darksiders II,PS3,2012.0,NA_Sales,0.35
83839,Darksiders II,X360,2012.0,NA_Sales,0.45
83840,Darksiders II,PS4,2015.0,NA_Sales,0.09
83841,Darksiders II,PC,2012.0,NA_Sales,0.03
83842,Darksiders II,WiiU,2012.0,NA_Sales,0.07
83843,Darksiders II,XOne,2015.0,NA_Sales,0.04
83844,Anno 2070,PC,2011.0,NA_Sales,0.0
83845,Chessmaster,PS2,2003.0,NA_Sales,0.19
83846,Chessmaster,XB,2004.0,NA_Sales,0.1
83847,Chessmaster,GBA,2002.0,NA_Sales,0.03
83848,Might & Magic Heroes VI,PC,2011.0,NA_Sales,0.13
83849,Trapped Dead,PC,2011.0,NA_Sales,0.0
83850,Torchlight,PC,2009.0,NA_Sales,0.0
83851,Titan Quest,PC,2006.0,NA_Sales,0.01
83852,Duke Nukem Forever,X360,2011.0,NA_Sales,0.52
83853,Duke Nukem Forever,PS3,2011.0,NA_Sales,0.33
83854,Duke Nukem Forever,PC,2011.0,NA_Sales,0.18
83855,Company of Heroes 2,PC,2013.0,NA_Sales,0.06
83856,Battlefield 2,PC,2005.0,NA_Sales,0.0
83857,Men of War,PC,2009.0,NA_Sales,0.01
83858,Full Spectrum Warrior,XB,2004.0,NA_Sales,0.54
83859,Full Spectrum Warrior,PS2,2005.0,NA_Sales,0.15
83860,DiRT Rally,PS4,2016.0,NA_Sales,0.04
83861,DiRT Rally,XOne,2016.0,NA_Sales,0.04
83862,DiRT Rally,PC,2016.0,NA_Sales,0.0
83863,Defiance,X360,2013.0,NA_Sales,0.38
83864,Defiance,PS3,2013.0,NA_Sales,0.19
