Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
67000,GRID 2,PC,2013.0,Publisher,Codemasters
67001,Sonic & All-Stars Racing Transformed,X360,2012.0,Publisher,Sega
67002,Sonic & All-Stars Racing Transformed,WiiU,2012.0,Publisher,Sega
67003,Sonic & All-Stars Racing Transformed,PS3,2012.0,Publisher,Sega
67004,Sonic & All-Stars Racing Transformed,PSV,2012.0,Publisher,Sega
67005,Sonic & All-Stars Racing Transformed,3DS,2012.0,Publisher,Sega
67006,Sonic & All-Stars Racing Transformed,PC,2013.0,Publisher,Sega
67007,Prison Architect,PS4,2016.0,Publisher,Introversion Software
67008,Prison Architect,XOne,2016.0,Publisher,Introversion Software
67009,Valkyria Chronicles,PS3,2008.0,Publisher,Sega
67010,Valkyria Chronicles,PS4,2016.0,Publisher,Sega
67011,The Crew,PS4,2014.0,Publisher,Ubisoft
67012,The Crew,XOne,2014.0,Publisher,Ubisoft
67013,The Crew,X360,2014.0,Publisher,Ubisoft
67014,The Crew,PC,2014.0,Publisher,Ubisoft
67015,Sonic Generations,PS3,2011.0,Publisher,Sega
67016,Sonic Generations,X360,2011.0,Publisher,Sega
67017,Sonic Generations,3DS,2011.0,Publisher,Sega
67018,Sonic Generations,PC,2011.0,Publisher,Sega
67019,Dungeon Defenders,PC,2011.0,Publisher,Unknown
67020,TERA,PC,,Publisher,Unknown
67021,Mafia II,X360,2010.0,Publisher,Take-Two Interactive
67022,Mafia II,PS3,2010.0,Publisher,Take-Two Interactive
67023,Mafia II,PC,2010.0,Publisher,Take-Two Interactive
67024,APB Reloaded,PC,2011.0,Publisher,Iceberg Interactive
67025,Deadpool,PS3,2013.0,Publisher,Activision
67026,Deadpool,X360,2013.0,Publisher,Activision
67027,Deadpool,PS4,2015.0,Publisher,Activision
67028,Deadpool,XOne,2015.0,Publisher,Activision
67029,Counter-Strike,XB,2003.0,Publisher,Microsoft Game Studios
67030,Project CARS,PS4,2015.0,Publisher,Slightly Mad Studios
67031,Project CARS,XOne,2015.0,Publisher,Slightly Mad Studios
67032,Project CARS,PC,2015.0,Publisher,Slightly Mad Studios
67033,World of Goo,PC,2008.0,Publisher,2D Boy
67034,Machinarium,PC,2009.0,Publisher,Daedalic
67035,Braid,PC,2009.0,Publisher,Number None
67036,Botanicula,PC,2012.0,Publisher,Daedalic Entertainment
67037,Terraria,X360,2013.0,Publisher,505 Games
67038,Terraria,PS3,2013.0,Publisher,505 Games
67039,Terraria,PC,2011.0,Publisher,Unknown
67040,Terraria,PSV,2013.0,Publisher,Screenlife
67041,Terraria,3DS,2016.0,Publisher,505 Games
67042,Terraria,PS4,2014.0,Publisher,505 Games
67043,Terraria,XOne,2014.0,Publisher,505 Games
67044,Terraria,WiiU,2016.0,Publisher,505 Games
67045,Saints Row 2,X360,2008.0,Publisher,THQ
67046,Saints Row 2,PS3,2008.0,Publisher,THQ
67047,Saints Row 2,PC,2009.0,Publisher,THQ
67048,GRID,PS3,2008.0,Publisher,Codemasters
67049,GRID,X360,2008.0,Publisher,Codemasters
67050,GRID,DS,,Publisher,Codemasters
67051,GRID,PC,,Publisher,Codemasters
67052,Darksiders,X360,2010.0,Publisher,THQ
67053,Darksiders,PC,2010.0,Publisher,THQ
67054,Darksiders,PS3,2010.0,Publisher,THQ
67055,Worms Reloaded,PC,2010.0,Publisher,Team17 Software
67056,Alan Wake,X360,2010.0,Publisher,Microsoft Game Studios
67057,Alan Wake,PC,2012.0,Publisher,Nordic Games
67058,Peggle Nights,PC,2008.0,Publisher,PopCap Games
67059,Puzzler World 2,DS,2010.0,Publisher,Ubisoft
67060,Bejeweled 3,DS,,Publisher,Unknown
67061,Bejeweled 3,PS3,,Publisher,Unknown
67062,Bejeweled 3,X360,,Publisher,Unknown
67063,Bejeweled 3,PC,2010.0,Publisher,PopCap Games
67064,The Book of Unwritten Tales,PC,2009.0,Publisher,HMH Interactive
67065,The Movies,PC,2005.0,Publisher,Activision
67066,The Testament of Sherlock Holmes,PS3,2012.0,Publisher,Focus Home Interactive
67067,The Testament of Sherlock Holmes,PC,2012.0,Publisher,Focus Home Interactive
