Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
34144,Beyond Good & Evil,GC,2003.0,numberOfObservances,3.0
34145,Guild Wars Trilogy,PC,2005.0,numberOfObservances,1.0
34146,Puzzle Chronicles,PSP,2010.0,numberOfObservances,1.0
34147,Velvet Assassin,X360,2009.0,numberOfObservances,4.0
34148,The Night of the Rabbit,PC,2013.0,numberOfObservances,2.0
34149,Gun Metal,XB,2002.0,numberOfObservances,2.0
34150,Lara Croft and the Temple of Osiris,PS4,2014.0,numberOfObservances,4.0
34151,Lara Croft and the Temple of Osiris,PC,2014.0,numberOfObservances,4.0
34152,MX vs. ATV Reflex,PS3,2009.0,numberOfObservances,7.0
34153,MX vs. ATV Reflex,X360,2009.0,numberOfObservances,7.0
34154,MX vs. ATV Reflex,PSP,2009.0,numberOfObservances,7.0
34155,MX vs. ATV Reflex,DS,2009.0,numberOfObservances,7.0
34156,Praetorians,PC,2003.0,numberOfObservances,2.0
34157,GTR Evolution,PC,2008.0,numberOfObservances,3.0
34158,Clockwork Empires,PC,,numberOfObservances,1.0
34159,Shantae and the Pirate's Curse,3DS,2015.0,numberOfObservances,4.0
34160,Damnation,PS3,2009.0,numberOfObservances,1.0
34161,Damnation,X360,2009.0,numberOfObservances,1.0
34162,MX vs. ATV Supercross Encore,PS4,2015.0,numberOfObservances,1.0
34163,MX vs. ATV Supercross Encore,XOne,2015.0,numberOfObservances,1.0
34164,Elven Legacy,PC,2009.0,numberOfObservances,3.0
34165,Worms,PS3,2009.0,numberOfObservances,1.0
34166,Worms,X360,2007.0,numberOfObservances,1.0
34167,Obscure,PS2,2004.0,numberOfObservances,1.0
34168,Obscure,XB,2004.0,numberOfObservances,1.0
34169,Haunted House,Wii,2010.0,numberOfObservances,1.0
34170,Republique,PS4,2016.0,numberOfObservances,2.0
34171,Still Life,XB,2005.0,numberOfObservances,2.0
34172,Crazy Machines,DS,2008.0,numberOfObservances,3.0
34173,Crazy Machines,Wii,2010.0,numberOfObservances,3.0
34174,Impossible Creatures,PC,2002.0,numberOfObservances,3.0
34175,Monopoly,PC,1994.0,numberOfObservances,4.0
34176,Monopoly,Wii,2008.0,numberOfObservances,4.0
34177,Monopoly,PS,1997.0,numberOfObservances,4.0
34178,Monopoly,X360,2008.0,numberOfObservances,4.0
34179,Monopoly,PS2,2008.0,numberOfObservances,4.0
34180,Monopoly,PS3,2008.0,numberOfObservances,4.0
34181,Monopoly,DS,2010.0,numberOfObservances,4.0
34182,Monopoly,N64,1999.0,numberOfObservances,4.0
34183,Split/Second,PS3,2010.0,numberOfObservances,2.0
34184,Split/Second,X360,2010.0,numberOfObservances,2.0
34185,Split/Second,PSP,2010.0,numberOfObservances,2.0
34186,Split/Second,PC,2010.0,numberOfObservances,2.0
34187,RollerCoaster Tycoon,XB,2003.0,numberOfObservances,1.0
34188,RollerCoaster Tycoon,PC,,numberOfObservances,1.0
34189,Dawn of Discovery,PC,2009.0,numberOfObservances,2.0
34190,Dawn of Discovery,Wii,2009.0,numberOfObservances,2.0
34191,Dawn of Discovery,DS,2009.0,numberOfObservances,2.0
34192,Ski Region Simulator,PC,2011.0,numberOfObservances,2.0
34193,Call of Juarez,X360,2007.0,numberOfObservances,2.0
34194,Call of Juarez,PC,2006.0,numberOfObservances,2.0
34195,Gray Matter,PC,2011.0,numberOfObservances,2.0
34196,Gray Matter,X360,2011.0,numberOfObservances,2.0
34197,The Book of Unwritten Tales 2,PS4,2015.0,numberOfObservances,2.0
34198,The Book of Unwritten Tales 2,WiiU,2016.0,numberOfObservances,2.0
34199,Clive Barker's Jericho,X360,2007.0,numberOfObservances,2.0
34200,Clive Barker's Jericho,PS3,2007.0,numberOfObservances,2.0
34201,Clive Barker's Jericho,PC,2007.0,numberOfObservances,2.0
34202,Post Mortem,PC,2003.0,numberOfObservances,1.0
34203,Ford Racing 3,PS2,2004.0,numberOfObservances,1.0
34204,Ford Racing 3,DS,2005.0,numberOfObservances,1.0
34205,Ford Racing 3,XB,2004.0,numberOfObservances,1.0
34206,Ford Racing 3,GBA,2005.0,numberOfObservances,1.0
34207,Shattered Union,XB,2005.0,numberOfObservances,1.0
34208,Port Royale 2,PC,2004.0,numberOfObservances,2.0
34209,Blitzkrieg 2 Anthology,PC,2008.0,numberOfObservances,3.0
34210,Rogue Trooper,PS2,2006.0,numberOfObservances,1.0
34211,Rogue Trooper,XB,2006.0,numberOfObservances,1.0
34212,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006.0,numberOfObservances,2.0
34213,Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006.0,numberOfObservances,2.0
34214,Colin McRae Rally,PS,1998.0,numberOfObservances,2.0
34215,Guilty Gear Isuka,PS2,2004.0,numberOfObservances,1.0
34216,The Club,X360,2008.0,numberOfObservances,1.0
34217,The Club,PS3,2008.0,numberOfObservances,1.0
34218,Azure Striker Gunvolt,3DS,2016.0,numberOfObservances,1.0
34219,Midnight Club II,PS2,2003.0,numberOfObservances,3.0
34220,Midnight Club II,XB,2003.0,numberOfObservances,3.0
34221,Pro Evolution Soccer 2014,PS3,2013.0,numberOfObservances,3.0
34222,Pro Evolution Soccer 2014,X360,2013.0,numberOfObservances,3.0
34223,Pro Evolution Soccer 2014,3DS,2013.0,numberOfObservances,3.0
34224,Pro Evolution Soccer 2014,PSP,2013.0,numberOfObservances,3.0
34225,Pro Evolution Soccer 2014,PC,2013.0,numberOfObservances,3.0
34226,Darkstone,PS,2001.0,numberOfObservances,1.0
34227,Puzzle Quest 2,DS,2010.0,numberOfObservances,1.0
34228,Don Bradman Cricket 14,PS4,2015.0,numberOfObservances,1.0
34229,Don Bradman Cricket 14,XOne,2015.0,numberOfObservances,1.0
34230,Don Bradman Cricket 14,PS3,2014.0,numberOfObservances,1.0
34231,Wolfenstein,PS3,2009.0,numberOfObservances,1.0
34232,Wolfenstein,X360,2009.0,numberOfObservances,1.0
34233,Wolfenstein,PC,2009.0,numberOfObservances,1.0
34234,Mega Man Legacy Collection,3DS,2016.0,numberOfObservances,1.0
34235,Mega Man Legacy Collection,PS4,2016.0,numberOfObservances,1.0
34236,BloodRayne 2,PS2,2004.0,numberOfObservances,2.0
34237,BloodRayne 2,XB,2004.0,numberOfObservances,2.0
34238,The Whispered World,PC,2009.0,numberOfObservances,2.0
34239,NBA 2K11,X360,2010.0,numberOfObservances,1.0
34240,NBA 2K11,PS3,2010.0,numberOfObservances,1.0
34241,NBA 2K11,Wii,2010.0,numberOfObservances,1.0
34242,NBA 2K11,PSP,2010.0,numberOfObservances,1.0
34243,NBA 2K11,PS2,2010.0,numberOfObservances,1.0
34244,NBA 2K11,PC,2010.0,numberOfObservances,1.0
34245,Wildlife Park 3,PC,2011.0,numberOfObservances,3.0
34246,NBA 2K12,X360,2011.0,numberOfObservances,2.0
34247,NBA 2K12,PS3,2011.0,numberOfObservances,2.0
34248,NBA 2K12,Wii,2011.0,numberOfObservances,2.0
34249,NBA 2K12,PSP,2011.0,numberOfObservances,2.0
34250,NBA 2K12,PC,2011.0,numberOfObservances,2.0
34251,Tom Clancy's Ghost Recon,PS2,2002.0,numberOfObservances,2.0
34252,Tom Clancy's Ghost Recon,XB,2002.0,numberOfObservances,2.0
34253,Tom Clancy's Ghost Recon,GC,2003.0,numberOfObservances,2.0
34254,Tom Clancy's Ghost Recon,Wii,2010.0,numberOfObservances,2.0
34255,Pro Evolution Soccer 2013,PS3,2012.0,numberOfObservances,1.0
34256,Pro Evolution Soccer 2013,X360,2012.0,numberOfObservances,1.0
34257,Pro Evolution Soccer 2013,PSP,2012.0,numberOfObservances,1.0
34258,Pro Evolution Soccer 2013,3DS,2012.0,numberOfObservances,1.0
34259,Pro Evolution Soccer 2013,Wii,2012.0,numberOfObservances,1.0
34260,Pro Evolution Soccer 2013,PC,2012.0,numberOfObservances,1.0
34261,Breach,PC,2011.0,numberOfObservances,3.0
34262,Dream Pinball 3D,Wii,2008.0,numberOfObservances,1.0
34263,Dream Pinball 3D,DS,2008.0,numberOfObservances,1.0
34264,Bionic Commando,PS3,2009.0,numberOfObservances,1.0
34265,Bionic Commando,X360,2009.0,numberOfObservances,1.0
34266,Championship Manager 2010,PC,2009.0,numberOfObservances,1.0
34267,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007.0,numberOfObservances,3.0
34268,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007.0,numberOfObservances,3.0
34269,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,numberOfObservances,3.0
34270,Imperial Glory,PC,2005.0,numberOfObservances,1.0
34271,Jack Keane,PC,2008.0,numberOfObservances,1.0
34272,BloodRayne,PS2,2002.0,numberOfObservances,1.0
34273,BloodRayne,XB,2002.0,numberOfObservances,1.0
34274,BloodRayne,GC,2002.0,numberOfObservances,1.0
34275,Worldwide Soccer Manager 2009,PC,2008.0,numberOfObservances,1.0
